entry_date,ticker,sector,entry_price,entry_score,entry_reason,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,flow_score,trend_score,real_strength_score,residual_mom_60,residual_mom_120,rs_persistence_count,path_quality_60,return_concentration_60,rs_60,rs_120,rs_sector_60,sector_rs_60,weekly_ret12,medium_trend_confirm,weekly_trend_confirm,ret_5,ma20_distance,atr_pct_20,atr_regime_ratio,entry_pullback_band,entry_local_ma20_cap,entry_local_ret5_cap,volume_ratio_20,macd,macd_hist,ma20,ma50,stage,model_version
2026-07-21,LPB,Ngân hàng,54.6,92.20948295884888,Pullback resume + HTF confirm,92.00083081893803,79.32927268871924,92.33646392367322,87.08333333333334,94.51127819548874,94.81203007518796,91.57894736842105,94.00017660122118,0.25390928260266465,0.47352223189405723,3,0.28897034212171463,0.2610296578782854,0.31734851917885387,0.41513497285786083,0.22944565555901608,0.08790286361983779,0.20914285714285707,True,True,0.060194174757281615,0.02970297029702973,0.03901098901098902,1.1456562796125254,0.029258241758241765,0.05851648351648353,0.11703296703296706,1.9655828163481623,0.8213600955547662,0.023713945184499985,53.025,51.107,LEADER,v4-vol-adaptive-2026-09-21
2026-07-23,STB,Ngân hàng,72.0,82.72637073148098,Pullback resume + HTF confirm,75.82206611018154,78.72211538461539,84.41979725700656,86.25,81.26923076923079,65.92307692307692,84.73076923076924,76.16288423682616,0.10784631582817808,0.34686673850548694,3,0.07984986940396371,0.30348346392936965,0.15133857917115678,0.2395776981040435,0.07666527419109825,0.07467330498005853,0.1325115562403698,True,True,0.0027855153203342198,0.002436477549599747,0.029097222222222226,0.8359954992949538,0.02182291666666667,0.04364583333333334,0.08729166666666668,1.4184282377563926,0.2305004218497828,0.04102094325852329,71.825,71.01,NEUTRAL,v4-vol-adaptive-2026-09-21
2026-07-23,HHP,Tài nguyên Cơ bản,14.11,80.16787214121047,Pullback resume + HTF confirm,85.65718166043197,70.87469639139486,90.09689922480621,58.47222222222222,80.11538461538464,56.92307692307693,93.5,88.10489381435492,0.22343059215881478,0.2503987272313671,3,0.18268492684061982,0.3006484064927135,0.2748229947795102,0.2453676071197589,0.2583150130096027,0.01650798176990753,0.184937238493724,True,True,0.02394775036284469,0.02076249728713031,0.031537916371367825,0.9252446130734832,0.02365343727852587,0.04730687455705174,0.09461374911410347,1.0158352772294994,0.1517305390080672,0.025825535740453986,13.822999999999999,13.6654,EMERGING,v4-vol-adaptive-2026-09-21
