policy,n,mean_return,median_return,positive_rate,avg_winner,avg_loser,worst_trade,closed_count,ride_trend_count,avg_stop_pct
FIXED_5PCT,335,-0.007532399090159628,-0.050000000000000044,0.27761194029850744,0.10522503192092629,-0.05086480026384141,-0.18943533697632053,305,5,0.04999999999999999
ATR_ADAPTIVE,335,-0.004143947152575395,-0.051609935602575874,0.30149253731343284,0.14203087401726486,-0.06723649817032695,-0.1957130547177941,296,9,0.06653166180176343
STRUCTURE_ATR,335,-0.0018568335326109627,-0.06343476018566274,0.34626865671641793,0.16672412626554667,-0.09115085790058483,-0.1957130547177941,268,12,0.09419818299914108
