watch_rank,ticker,sector,status,watch_score,gate_fail_count,gate_failures,close,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,residual_mom_60,residual_mom_120,rs_persistence_count,ma20_distance,ret_5,atr_pct_20,atr_regime_ratio,stage
1,PVT,Hàng & Dịch vụ Công nghiệp,NEAR ENTRY,80.0483898206573,1,Daily trend,22.3,87.84757128422139,86.70678323412699,89.76159230096238,76.52777777777779,75.85937500000001,0.12386513017653802,0.23498935443013327,3,0.02705814622913083,-0.013274336283185861,0.03867713004484307,0.9841588954410521,NEUTRAL
2,PVP,Hàng & Dịch vụ Công nghiệp,NEAR ENTRY,78.72763273119885,1,MA20 extension,19.2,79.92736439760527,85.9562710911136,88.69110111236097,76.52777777777779,90.42968750000001,0.09904088127405217,0.3789553983555695,3,0.06297577854671266,0.05785123966942152,0.03531250000000003,1.0076990771849443,LEADER
3,HHP,Tài nguyên Cơ bản,NEAR ENTRY,76.89594232516707,1,Sector 10P,17.3,96.0681620618995,76.25063554067461,97.44047619047619,51.80555555555555,67.53906250000001,0.2888574679286373,0.4526480845144246,3,0.02960868918315729,0.01764705882352935,0.022687861271676303,0.7292398896276691,NEUTRAL
