signal_date,ticker,sector,entry_reason,model_version,fill_date,fill_price,status,action,exit_date,exit_price,exit_reason,mark_date,mark_price,lifecycle_return,no_stop_return,peak_close,peak_date,peak_return,drawdown_from_peak,hard_stop_level,protective_stop,strength_break_votes,strength_break_reasons,profit_protection_armed
2026-04-01,DCL,Y tế,Squeeze breakout + HTF confirm,v4-residual-strength-2026-09-21,2026-04-02,60.0,CLOSED,CLOSED,2026-04-03,57.0,HARD_STOP,2026-04-03,57.0,-0.050000000000000044,-0.27833333333333343,60.9,2026-04-02,0.014999999999999902,-0.0640394088669951,57.0,,0,,False
2026-07-21,LPB,Ngân hàng,Pullback resume + HTF confirm,v4-residual-strength-2026-09-21,2026-07-22,54.8,CLOSED,CLOSED,2026-07-24,52.059999999999995,HARD_STOP,2026-07-24,52.059999999999995,-0.050000000000000044,-0.15784671532846717,54.8,2026-07-22,0.0,-0.050000000000000044,52.059999999999995,,0,,False
2026-07-23,STB,Ngân hàng,Pullback resume + HTF confirm,v4-residual-strength-2026-09-21,2026-07-24,73.0,OPEN,HOLD,,,,2026-09-21,76.5,0.047945205479452024,0.047945205479452024,78.2,2026-09-18,0.0712328767123287,-0.021739130434782594,69.35,69.35,0,,False
