entry_rank,ticker,sector,entry_date,entry_price,current_price,since_entry_pct,entry_age_sessions,entry_score_current,entry_score,entry_reason,sector_score,leadership_score,short_momentum_score,long_momentum_score,flow_score,trend_score,macd_status,ma_status,stage
1,DCL,Y tế,2026-09-17,42.45,40.5,-0.04593639575971742,1,96.55680338541667,98.05680338541667,BB squeeze breakout,96.94444444444444,84.74912510936133,89.01574803149609,62.08661417322835,91.85039370078741,72.95275590551182,DƯƠNG,MA20 > MA50,EMERGING
2,PVD,Dầu khí,2026-09-15,19.65,19.2,-0.022900763358778553,3,89.12003968253968,93.62003968253968,MA20/MA50 cross,85.83333333333333,72.80643044619423,74.52755905511812,60.23622047244095,78.58267716535433,64.84251968503936,DƯƠNG,MA20 > MA50,NEUTRAL
3,DRI,Hóa chất,2026-09-16,14.9,14.8,-0.006711409395973145,2,83.33308531746032,86.33308531746032,SM ngắn hạn vượt 80,66.94444444444446,73.94203849518811,68.38582677165356,82.32283464566929,66.69291338582677,84.56692913385827,DƯƠNG,MA20 > MA50,NEUTRAL
