entry_date,ticker,sector,entry_price,entry_score,entry_reason,model_version,created_at,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,flow_score,trend_score,real_strength_score,residual_mom_60,residual_mom_120,rs_persistence_count,path_quality_60,return_concentration_60,rs_60,rs_120,rs_sector_60,sector_rs_60,weekly_ret12,medium_trend_confirm,weekly_trend_confirm,ret_5,ma20_distance,volume_ratio_20,macd,macd_hist,ma20,ma50,stage
2026-09-09,OIL,Dầu khí,13.9,80.7857142857143,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,ORS,Dịch vụ tài chính,14.75,78.1830357142857,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03,ORS,Dịch vụ tài chính,14.65,100.36811023622,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,ORS,Dịch vụ tài chính,14.6,72.0662729658793,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10,PAN,Thực phẩm và đồ uống,23.61,79.9015522875817,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,PAN,Thực phẩm và đồ uống,24.1,76.7591426858513,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,PAN,Thực phẩm và đồ uống,24.86,82.3731884057971,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,PAN,Thực phẩm và đồ uống,25.39,85.6824874686717,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,PC1,Xây dựng và Vật liệu,29.1,75.39293598234,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,PDR,Bất động sản,17.0,65.3653606965174,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
