date,market_score,breadth_ma20,breadth_ma50,median_ret20,liquidity_ratio,regime,coverage_stocks,coverage_reference
2025-10-24,34.800487592562085,0.2949640287769784,0.23741007194244604,-0.04799107142857162,0.7854522010956292,DEFENSIVE,139,130
2025-10-27,31.453374175940553,0.23741007194244604,0.2158273381294964,-0.04978354978354982,0.8132133160242602,DEFENSIVE,139,130
2025-10-28,37.0640420856355,0.30935251798561153,0.2302158273381295,-0.02784684236698154,0.7581428227004282,DEFENSIVE,139,130
2025-10-29,41.21010976840879,0.42857142857142855,0.30714285714285716,-0.02458533314511574,0.7503518758148868,NEUTRAL,140,130
2025-10-30,41.734328810147275,0.4316546762589928,0.2949640287769784,-0.00723327305605781,0.662635195243508,NEUTRAL,139,130
2025-10-31,39.49773542325338,0.3669064748201439,0.2949640287769784,-0.005278592375366542,0.7768614139107258,DEFENSIVE,139,130
2025-11-03,31.682463708929237,0.3237410071942446,0.2733812949640288,-0.054283604135893615,0.8623325088312687,DEFENSIVE,139,130
2025-11-04,40.19537854501719,0.40425531914893614,0.2765957446808511,-0.021546961325966896,1.0221356499532914,NEUTRAL,141,130
2025-11-05,36.844129164249736,0.3971631205673759,0.2978723404255319,-0.03345724907063197,0.5567526675873741,DEFENSIVE,141,130
2025-11-06,33.93579577447806,0.375886524822695,0.2978723404255319,-0.04877049180327864,0.545237164168186,DEFENSIVE,141,130
2025-11-07,25.71996742907203,0.25,0.20714285714285716,-0.07356217152412814,0.7331904142513148,DEFENSIVE,140,130
2025-11-10,22.07695645958397,0.19424460431654678,0.16546762589928057,-0.07638888888888884,0.5703056054992734,DEFENSIVE,139,130
2025-11-11,26.573873886214717,0.2517985611510791,0.19424460431654678,-0.05996822875297847,0.537066049726958,DEFENSIVE,139,130
2025-11-12,35.642859128675255,0.39568345323741005,0.2733812949640288,-0.04440919904837426,0.6560021783220606,DEFENSIVE,139,130
2025-11-13,36.011824348962264,0.41007194244604317,0.3237410071942446,-0.051470588235294046,0.6411556698510581,DEFENSIVE,139,130
2025-11-14,39.84256546060783,0.47101449275362317,0.35507246376811596,-0.03705295561506006,0.6374650241086486,DEFENSIVE,138,130
2025-11-17,52.984149844900344,0.6376811594202898,0.4057971014492754,0.02280572717465923,0.7905598380792077,NEUTRAL,138,130
2025-11-18,52.495824610372914,0.6376811594202898,0.39855072463768115,0.01230521889685876,0.9010551550348624,NEUTRAL,138,130
2025-11-19,47.9094922169738,0.5467625899280576,0.38848920863309355,-0.0025316455696202667,0.8554435985666964,NEUTRAL,139,130
2025-11-20,45.53333446262506,0.4857142857142857,0.35,-0.003167155307763847,0.6590369289777054,NEUTRAL,140,130
2025-11-21,44.40194388457731,0.44285714285714284,0.34285714285714286,-0.008922088786308568,0.7649887890873481,NEUTRAL,140,130
2025-11-24,43.49728059564831,0.35251798561151076,0.31654676258992803,0.003960396039603964,0.5613264465674332,NEUTRAL,139,130
2025-11-25,39.144217092329505,0.2463768115942029,0.26811594202898553,-0.018084071279888536,0.8724434896447867,DEFENSIVE,138,130
2025-11-26,44.847612109815856,0.4492753623188406,0.34782608695652173,-0.019715317225179885,0.7582861780476547,NEUTRAL,138,130
2025-11-27,44.40675555691746,0.39855072463768115,0.38405797101449274,-0.018723587911233963,0.699956408431051,NEUTRAL,138,130
2025-11-28,42.71802980590109,0.34782608695652173,0.3188405797101449,-0.019935116228531558,0.7315443246637425,NEUTRAL,138,130
2025-12-01,44.552020689502434,0.32116788321167883,0.35766423357664234,-0.00407806583163417,0.6172594042134295,NEUTRAL,137,130
2025-12-02,45.96146452560144,0.3897058823529412,0.34558823529411764,-0.022346696884578132,0.9466208345163056,NEUTRAL,136,130
2025-12-03,52.31410709526572,0.5223880597014925,0.43283582089552236,-0.004166739005885545,0.8476903093451589,NEUTRAL,134,130
2025-12-04,58.166356967503134,0.7014925373134329,0.44776119402985076,0.00552944323436122,1.0013570423764677,NEUTRAL,134,130
2025-12-05,53.916900793632045,0.4962962962962963,0.3851851851851852,0.018650575973669703,0.8577397336649181,NEUTRAL,135,130
2025-12-08,49.916970922075954,0.3235294117647059,0.35294117647058826,0.015664281482156595,0.8424710978605523,NEUTRAL,136,130
2025-12-09,49.21695730909058,0.32116788321167883,0.3357664233576642,0.0035842293906811484,1.197179271287267,NEUTRAL,137,130
2025-12-10,42.04781072927228,0.32116788321167883,0.31386861313868614,-0.01457627118644067,0.6368269338754527,NEUTRAL,137,130
2025-12-11,39.83035794698489,0.2971014492753623,0.3188405797101449,-0.019256871233394535,0.6537832343294152,DEFENSIVE,138,130
2025-12-12,28.842448228028655,0.13138686131386862,0.15328467153284672,-0.05769230769230771,1.1584647730501103,DEFENSIVE,137,130
2025-12-15,26.549444771787197,0.13138686131386862,0.1678832116788321,-0.0627333831217326,0.7799686751270667,DEFENSIVE,137,130
2025-12-16,35.98251562049459,0.29927007299270075,0.25547445255474455,-0.05011772620248911,1.0426040551041842,DEFENSIVE,137,130
2025-12-17,33.52404452146226,0.24817518248175183,0.25547445255474455,-0.04255319148936165,0.6454755134237442,DEFENSIVE,137,130
2025-12-18,35.60823405806931,0.2835820895522388,0.27611940298507465,-0.034553540882654776,0.6310366645486168,DEFENSIVE,134,130
2025-12-19,40.917553026934584,0.3308270676691729,0.3233082706766917,-0.02488687782805432,0.8200958657862883,NEUTRAL,133,130
2025-12-22,50.930718740958476,0.48507462686567165,0.40298507462686567,-0.005157373794883902,0.9691422077257292,NEUTRAL,134,130
2025-12-23,49.856622370014264,0.40601503759398494,0.37593984962406013,-0.007014809041309467,0.9887156015836921,NEUTRAL,133,130
2025-12-24,49.449877205201965,0.43283582089552236,0.4253731343283582,-0.020479778813172145,0.8890990083234819,NEUTRAL,134,130
2025-12-25,44.748495994598215,0.37037037037037035,0.35555555555555557,-0.02017291066282434,0.8896974376962444,NEUTRAL,135,130
2025-12-26,43.286787296354014,0.3284671532846715,0.3357664233576642,-0.026554013277006683,1.144482351116945,NEUTRAL,137,130
2025-12-29,43.958864956794685,0.36496350364963503,0.34306569343065696,-0.020689655172413723,0.7067229605269997,NEUTRAL,137,130
2025-12-30,46.26101960565612,0.39855072463768115,0.37681159420289856,-0.01921671538665959,0.7828634851496723,NEUTRAL,138,130
2025-12-31,46.80039994610789,0.46715328467153283,0.3795620437956204,-0.03515625000000011,0.8141529258571232,NEUTRAL,137,130
2026-01-05,45.26343540930333,0.3795620437956204,0.3284671532846715,-0.039109912339851616,1.0881535763504924,NEUTRAL,137,130
2026-01-06,49.87660010817215,0.43884892086330934,0.3597122302158273,-0.026033690658499253,1.0812415837172629,NEUTRAL,139,130
2026-01-07,61.50886427608508,0.6014492753623188,0.5217391304347826,-0.0025765793545849403,1.2415519635860337,NEUTRAL,138,130
2026-01-08,61.976556454794654,0.5971223021582733,0.49640287769784175,0.0,1.4945236078372222,NEUTRAL,139,130
2026-01-09,61.06942227613003,0.5071428571428571,0.5142857142857142,0.006439670401672037,1.3952529176195325,NEUTRAL,140,130
2026-01-12,71.22658848445526,0.6950354609929078,0.6666666666666666,0.03285151116951379,1.5618845205559413,RISK_ON,141,130
2026-01-13,76.8836227799146,0.7659574468085106,0.6666666666666666,0.06179351921627729,1.5415331956380405,RISK_ON,141,130
2026-01-14,78.56438573439209,0.7482517482517482,0.6503496503496503,0.08363309352517989,1.6884978106998607,RISK_ON,143,130
2026-01-15,73.08591415475475,0.75,0.6944444444444444,0.06629475553080011,1.2935890294600019,RISK_ON,144,130
2026-01-16,73.09253674012835,0.7724137931034483,0.7103448275862069,0.06237599206349209,1.183422268349645,RISK_ON,145,130
2026-01-19,71.15368025328615,0.7534246575342466,0.7054794520547946,0.058112415194609524,0.8935631623540353,RISK_ON,146,130
2026-01-20,69.17612993436514,0.6986301369863014,0.684931506849315,0.050634993866434885,1.0846805825275014,RISK_ON,146,130
2026-01-21,61.764737514934055,0.6148648648648649,0.6081081081081081,0.018598870370323595,1.106048377691169,NEUTRAL,148,130
2026-01-22,66.11092643529373,0.7333333333333333,0.6666666666666666,0.03516934942991279,1.024013826961852,RISK_ON,150,130
2026-01-23,59.892928756184205,0.5866666666666667,0.6333333333333333,0.026995218183131997,0.84849728691452,NEUTRAL,150,130
2026-01-26,50.00257742168228,0.3509933774834437,0.4503311258278146,0.01619778346121059,0.9744854697781693,NEUTRAL,151,130
2026-01-27,49.943126156990964,0.4105960264900662,0.4966887417218543,0.01978021978021971,0.6961215258781006,NEUTRAL,151,130
2026-01-28,47.797240961922036,0.39473684210526316,0.47368421052631576,0.017662869916968305,0.7834066617058608,NEUTRAL,152,130
2026-01-29,50.084628227802554,0.46710526315789475,0.5197368421052632,0.022538836290100228,0.5930011596606914,NEUTRAL,152,130
2026-01-30,53.025093008814764,0.47058823529411764,0.5228758169934641,0.03258145363408538,0.7931623511092569,NEUTRAL,153,130
2026-02-02,55.46701422602255,0.5098039215686274,0.5490196078431373,0.05308219178082196,0.8212141903999973,NEUTRAL,153,130
2026-02-03,57.81879477452435,0.5686274509803921,0.5947712418300654,0.05208333333333326,0.8810134473188282,NEUTRAL,153,130
2026-02-04,56.862200912862065,0.6143790849673203,0.6274509803921569,0.04391217564870242,0.8348669971070013,NEUTRAL,153,130
2026-02-05,48.6868294921547,0.4276315789473684,0.5723684210526315,0.023051558255462012,0.6982172475381327,NEUTRAL,152,130
2026-02-06,39.88683978543148,0.23684210526315788,0.4276315789473684,0.0009144947416551696,0.9358919738027591,DEFENSIVE,152,130
2026-02-09,33.869658154975696,0.2185430463576159,0.4304635761589404,-0.02729124236252556,0.44969655958458854,DEFENSIVE,151,130
2026-02-10,32.05023217989249,0.17880794701986755,0.3708609271523179,-0.036832020438577695,0.6203023958961915,DEFENSIVE,151,130
2026-02-11,41.409419945049656,0.3509933774834437,0.4900662251655629,-0.023809523809523836,0.6381172901913506,NEUTRAL,151,130
2026-02-12,42.10344693425017,0.3933333333333333,0.5066666666666667,-0.02570780512747195,0.4052094455344561,NEUTRAL,150,130
2026-02-13,45.61041188058083,0.44666666666666666,0.54,-0.0216879594939422,0.5766205004924922,NEUTRAL,150,130
2026-02-23,55.27735683932946,0.6621621621621622,0.6351351351351351,-0.01203262279211642,0.7316003950891294,NEUTRAL,148,130
2026-02-24,59.50102065118122,0.6824324324324325,0.6959459459459459,0.0013020833333333703,0.9129778426192916,NEUTRAL,148,130
2026-02-25,63.588806940476175,0.7891156462585034,0.7006802721088435,0.014195583596214423,1.0559007336518969,NEUTRAL,147,130
2026-02-26,60.99549557689455,0.773972602739726,0.678082191780822,0.0,0.8105821538741469,NEUTRAL,146,130
2026-02-27,59.50966292490972,0.6530612244897959,0.6394557823129252,0.005576208178438735,0.9896867356276942,NEUTRAL,147,130
2026-03-02,54.967720699479884,0.43537414965986393,0.48299319727891155,0.013636363636363669,1.6198212315942186,NEUTRAL,147,130
2026-03-03,50.28907408261529,0.42,0.48,0.009631018216799347,1.223154474245916,NEUTRAL,150,130
2026-03-04,49.82621004836302,0.4105960264900662,0.4503311258278146,-0.002586950273066879,1.5142258967015727,NEUTRAL,151,130
2026-03-05,44.98009523718896,0.39072847682119205,0.47019867549668876,-0.013586956521739135,0.9455644143532108,NEUTRAL,151,130
