horizon,metric,mean_ic,median_ic,ic_positive_rate,ic_std,days,ic_ir
5,market_alpha,-0.015250818114923388,-0.02615439418781852,0.45248868778280543,0.22824881928681592,221,-0.06681663529553383
5,sector_alpha,-0.018564048238077488,-0.022884797020409794,0.43891402714932126,0.1555639345058825,221,-0.11933388222046741
20,market_alpha,-0.0067454384959901624,0.026744826660421512,0.5825242718446602,0.21551446562367185,206,-0.03129923774011971
20,sector_alpha,-0.026872484404574057,0.010109567053331495,0.5242718446601942,0.14426060633429236,206,-0.18627735656609512
60,market_alpha,-0.0014490014114540227,0.04001146015847111,0.5602409638554217,0.2074771373792278,166,-0.006983908828496753
60,sector_alpha,-0.025613052252202142,-0.04591041328701059,0.42771084337349397,0.11993495932259574,166,-0.21355785166282742
