horizon,metric,stage,mean,median,hit_rate,count
5,absolute,EMERGING,-0.002475689923728483,-0.009247027741083214,0.39559471365638765,1135
5,absolute,FADING,-0.002959966215186429,-0.0049261083743843415,0.4292284108329075,1957
5,absolute,LEADER,0.001420444980727798,-0.002116551126516486,0.45689655172413796,348
5,absolute,MATURE,-0.019525625270972468,-0.014925373134328512,0.32653061224489793,49
5,absolute,NEUTRAL,-0.0024636626263597784,-0.006351913029995326,0.4191056910569106,2460
5,market_alpha,EMERGING,-0.004198289430552498,-0.013712871089301193,0.3841409691629956,1135
5,market_alpha,FADING,-0.005451758617178647,-0.00961891132694248,0.40827797649463465,1957
5,market_alpha,LEADER,0.00017062673651619545,-0.007906309797072963,0.4482758620689655,348
5,market_alpha,MATURE,-0.008657543590227702,-0.01048714906255055,0.4897959183673469,49
5,market_alpha,NEUTRAL,-0.00421280562430835,-0.008904646184529075,0.4089430894308943,2460
5,sector_alpha,EMERGING,0.003996274346458938,0.0,0.4220264317180617,1135
5,sector_alpha,FADING,0.0038492942941004203,0.0,0.4573326520183955,1957
5,sector_alpha,LEADER,0.006539814094374139,0.0,0.45689655172413796,348
5,sector_alpha,MATURE,-0.002169844833276004,0.0,0.46938775510204084,49
5,sector_alpha,NEUTRAL,0.002796878331985761,0.0,0.4378048780487805,2460
20,absolute,EMERGING,-0.004987623642360651,-0.019607843137254943,0.37725118483412323,1055
20,absolute,FADING,-0.009315358147021955,-0.015127840909090862,0.40652173913043477,1840
20,absolute,LEADER,0.0008801316880925262,-0.013803057895895476,0.42727272727272725,330
20,absolute,MATURE,-0.0368038904237068,-0.054916985951468655,0.3469387755102041,49
20,absolute,NEUTRAL,-0.008102029953436507,-0.019087523277467433,0.3981841763942931,2313
20,market_alpha,EMERGING,-0.01142487742779569,-0.024679698895067825,0.3819905213270142,1055
20,market_alpha,FADING,-0.021452359263804996,-0.031023151426727014,0.35489130434782606,1840
20,market_alpha,LEADER,-5.6452921119909406e-05,-0.01672360235798409,0.45454545454545453,330
20,market_alpha,MATURE,-0.030618809791412807,-0.056657349197398066,0.3469387755102041,49
20,market_alpha,NEUTRAL,-0.016725652131857387,-0.02832502571858697,0.3679204496325119,2313
20,sector_alpha,EMERGING,0.011961367929640124,0.0,0.4720379146919431,1055
20,sector_alpha,FADING,0.006729779862024935,0.0,0.46956521739130436,1840
20,sector_alpha,LEADER,0.009187140932029337,0.0,0.43636363636363634,330
20,sector_alpha,MATURE,-0.02546455833922385,-0.012732255667038284,0.2857142857142857,49
20,sector_alpha,NEUTRAL,0.00800124610254004,0.0,0.461305663640294,2313
60,absolute,EMERGING,-0.02303610786931464,-0.05655132023351295,0.3555045871559633,872
60,absolute,FADING,-0.027228502501663147,-0.05266540244416351,0.3433333333333333,1500
60,absolute,LEADER,-0.051273882164152955,-0.08296855953266735,0.3143939393939394,264
60,absolute,MATURE,-0.09186893474440666,-0.13921568627450986,0.21951219512195122,41
60,absolute,NEUTRAL,-0.03373626138446815,-0.05397727272727293,0.35209771640998405,1883
60,market_alpha,EMERGING,-0.0317389562466371,-0.05580280391793402,0.3555045871559633,872
60,market_alpha,FADING,-0.043508110954266405,-0.06363841252093422,0.33066666666666666,1500
60,market_alpha,LEADER,-0.057483247605871486,-0.09112448818927432,0.35984848484848486,264
60,market_alpha,MATURE,-0.09826241246825718,-0.14299585707553064,0.24390243902439024,41
60,market_alpha,NEUTRAL,-0.047517628194610535,-0.06531580547914229,0.33935209771641,1883
60,sector_alpha,EMERGING,0.024479887226424447,0.0,0.46788990825688076,872
60,sector_alpha,FADING,0.014759938092015088,0.0,0.45,1500
60,sector_alpha,LEADER,0.00923347328570816,0.0,0.39015151515151514,264
60,sector_alpha,MATURE,-0.042838002107136036,-0.018072185230324778,0.2682926829268293,41
60,sector_alpha,NEUTRAL,0.013514479792252513,0.0,0.44556558682952735,1883
