horizon,top_decile_market_alpha,bottom_decile_market_alpha,top_bottom_spread,top_decile_hit_rate,mean_spearman_ic,ic_positive_rate,emerging_entry_alpha,emerging_entry_count
5,-0.0027683653585059407,-0.004736634735741225,0.001968269377235284,0.42994241842610365,-0.011437108905782069,0.4660633484162896,-0.003314607521193304,1111
20,-0.016741800237647497,-0.020814143129136268,0.004072342891488771,0.37761040739472784,5.380891048732187e-05,0.5970873786407767,-0.010896637858119796,1032
60,-0.05467983849856144,-0.05515533833912601,0.00047549984056457356,0.34991708126036486,0.009543536187628376,0.572289156626506,-0.028777695508979337,856
